"RaumKategorie","RaumSort","RaumLang","StichtagDatJahr","AnzBestWir","FlaecheT","FlaecheL","FlaecheS","DichteT","DichteL","DichteS"
"Stadtquartier",72,"Hottingen",2017,11172,505.3,263.1,138.5,22.1,42.5,80.6
"Stadtquartier",72,"Hottingen",2018,11265,505.3,263,138.6,22.3,42.8,81.3
"Stadtquartier",72,"Hottingen",2019,11388,505.3,263,138.6,22.5,43.3,82.2
"Stadtquartier",72,"Hottingen",2020,11304,505.3,263,138.5,22.4,43,81.6
"Stadtquartier",72,"Hottingen",2021,11293,505.3,263.1,137.7,22.4,42.9,82
"Stadtquartier",72,"Hottingen",2022,11422,505.3,263.1,137.8,22.6,43.4,82.9
"Stadtquartier",73,"Hirslanden",2009,6956,218.8,96.1,69.1,31.8,72.4,100.6
"Stadtquartier",73,"Hirslanden",2010,6998,218.8,96.1,69.1,32,72.8,101.3
"Stadtquartier",73,"Hirslanden",2011,7024,218.8,96.1,69.1,32.1,73.1,101.6
"Stadtquartier",73,"Hirslanden",2012,7131,218.8,96.1,69.1,32.6,74.2,103.2
"Stadtquartier",73,"Hirslanden",2013,7285,218.8,96.1,69.1,33.3,75.8,105.4
"Stadtquartier",73,"Hirslanden",2014,7403,218.6,95.9,69.1,33.9,77.2,107.1
"Stadtquartier",73,"Hirslanden",2015,7380,218.7,95.9,69.1,33.7,77,106.8
"Stadtquartier",73,"Hirslanden",2016,7321,218.7,95.6,69.3,33.5,76.6,105.6
"Stadtquartier",73,"Hirslanden",2017,7465,218.7,95.1,69.3,34.1,78.5,107.8
"Stadtquartier",73,"Hirslanden",2018,7488,218.7,95.1,69.1,34.2,78.7,108.3
"Stadtquartier",73,"Hirslanden",2019,7503,218.7,95.1,69.1,34.3,78.9,108.6
"Stadtquartier",73,"Hirslanden",2020,7396,218.7,95.1,69.1,33.8,77.8,107
"Stadtquartier",73,"Hirslanden",2021,7338,218.7,95.1,69.1,33.6,77.2,106.1
"Stadtquartier",73,"Hirslanden",2022,7531,218.7,95.1,69.1,34.4,79.2,108.9
"Stadtquartier",74,"Witikon",2009,10284,493.3,284.5,135.9,20.8,36.2,75.7
"Stadtquartier",74,"Witikon",2010,10242,493.3,284.5,135.9,20.8,36,75.4
"Stadtquartier",74,"Witikon",2011,10258,494.1,285.3,136.5,20.8,36,75.2
"Stadtquartier",74,"Witikon",2012,10246,493.3,284.5,135.9,20.8,36,75.4
"Stadtquartier",74,"Witikon",2013,10267,493.3,284.5,136.2,20.8,36.1,75.4
"Stadtquartier",74,"Witikon",2014,10406,493.5,284.6,136.2,21.1,36.6,76.4
"Stadtquartier",74,"Witikon",2015,10639,493.4,283.8,136.2,21.6,37.5,78.1
"Stadtquartier",74,"Witikon",2016,10667,493.4,283.4,137.9,21.6,37.6,77.3
"Stadtquartier",74,"Witikon",2017,10600,493.4,282.8,137.9,21.5,37.5,76.9
"Stadtquartier",74,"Witikon",2018,10953,493.4,284.4,138.1,22.2,38.5,79.3
"Stadtquartier",74,"Witikon",2019,11054,494.4,285.5,138.1,22.4,38.7,80
"Stadtquartier",74,"Witikon",2020,11244,493.4,284.5,138.1,22.8,39.5,81.4
"Stadtquartier",74,"Witikon",2021,11255,493.4,284.5,138.1,22.8,39.6,81.5
"Stadtquartier",74,"Witikon",2022,11402,493.4,284.5,138.1,23.1,40.1,82.6
"Stadtquartier",81,"Seefeld",2009,4732,242.3,67.1,36.4,19.5,70.5,130
"Stadtquartier",81,"Seefeld",2010,4840,242.3,67.1,36.4,20,72.2,133
"Stadtquartier",81,"Seefeld",2011,4908,242.3,67.1,36.5,20.3,73.2,134.4
"Stadtquartier",81,"Seefeld",2012,4916,242.3,67.1,36.7,20.3,73.3,133.8
"Stadtquartier",81,"Seefeld",2013,4978,242.3,67.1,36.7,20.5,74.2,135.8
"Stadtquartier",81,"Seefeld",2014,5035,242.2,67.1,37.1,20.8,75.1,135.7
"Stadtquartier",81,"Seefeld",2015,4990,242.2,67,37.1,20.6,74.4,134.5
"Stadtquartier",81,"Seefeld",2016,5046,242.2,67.1,36.8,20.8,75.3,137
"Stadtquartier",81,"Seefeld",2017,5129,242.2,67.1,36.8,21.2,76.5,139.2
"Stadtquartier",81,"Seefeld",2018,5253,242.2,67.1,36.9,21.7,78.3,142.3
"Stadtquartier",81,"Seefeld",2019,5319,242.2,67.1,36.9,22,79.3,144.1
"Stadtquartier",81,"Seefeld",2020,5480,242.2,67,36.9,22.6,81.8,148.6
"Stadtquartier",81,"Seefeld",2021,5862,242.2,67,36.9,24.2,87.5,159
"Stadtquartier",81,"Seefeld",2022,5815,242.2,67,36.9,24,86.8,157.7
"Stadtquartier",82,"Mühlebach",2009,5545,63.8,63.6,48.1,86.9,87.2,115.2
"Stadtquartier",82,"Mühlebach",2010,5679,63.8,63.6,48.2,89,89.3,117.7
"Stadtquartier",82,"Mühlebach",2011,5651,63.5,63.4,48.3,88.9,89.2,117
"Stadtquartier",82,"Mühlebach",2012,5745,63.8,63.6,48.3,90.1,90.3,118.8
"Stadtquartier",82,"Mühlebach",2013,5912,63.8,63.6,47.5,92.7,92.9,124.5
"Stadtquartier",82,"Mühlebach",2014,6107,63.9,63.8,47.5,95.5,95.8,128.6
"Stadtquartier",82,"Mühlebach",2015,6116,63.9,63.8,47.5,95.7,95.9,128.8
"Stadtquartier",82,"Mühlebach",2016,6137,63.9,63.8,48,96,96.2,127.8
"Stadtquartier",82,"Mühlebach",2017,6164,63.9,63.8,48,96.4,96.6,128.4
"Stadtquartier",82,"Mühlebach",2018,6315,63.9,63.8,48,98.8,99,131.4
"Stadtquartier",82,"Mühlebach",2019,6327,63.9,63.8,48,99,99.2,131.7
"Stadtquartier",82,"Mühlebach",2020,6414,63.9,63.8,48,100.4,100.6,133.5
"Stadtquartier",82,"Mühlebach",2021,6408,63.9,63.8,48,100.3,100.5,133.4
"Stadtquartier",82,"Mühlebach",2022,6440,63.9,63.8,48,100.8,101,134.1
"Stadtquartier",83,"Weinegg",2009,4935,174.5,157.8,94.2,28.3,31.3,52.4
"Stadtquartier",83,"Weinegg",2010,4999,174.5,157.8,94.1,28.6,31.7,53.1
"Stadtquartier",83,"Weinegg",2011,4942,158,141.4,89.7,31.3,34.9,55.1
"Stadtquartier",83,"Weinegg",2012,4783,174.5,157.8,93.4,27.4,30.3,51.2
"Stadtquartier",83,"Weinegg",2013,5022,174.5,157.8,93.5,28.8,31.8,53.7
"Stadtquartier",83,"Weinegg",2014,5036,174.5,157.8,93.6,28.9,31.9,53.8
"Stadtquartier",83,"Weinegg",2015,5086,174.5,157.8,93.7,29.1,32.2,54.3
"Stadtquartier",83,"Weinegg",2016,5030,174.5,157.6,96.7,28.8,31.9,52
"Stadtquartier",83,"Weinegg",2017,5248,174.5,157.5,96.1,30.1,33.3,54.6
"Stadtquartier",83,"Weinegg",2018,5220,174.5,157.5,100.5,29.9,33.1,51.9
"Stadtquartier",83,"Weinegg",2019,5414,174.5,157.5,100.5,31,34.4,53.9
"Stadtquartier",83,"Weinegg",2020,5562,174.5,157.5,100.5,31.9,35.3,55.4
"Stadtquartier",83,"Weinegg",2021,5548,174.5,157.5,100.4,31.8,35.2,55.2
"Stadtquartier",83,"Weinegg",2022,5559,174.5,157.4,100.5,31.8,35.3,55.3
"Stadtquartier",91,"Albisrieden",2009,17675,460.1,272.1,177.6,38.4,65,99.5
"Stadtquartier",91,"Albisrieden",2010,17835,460.1,272.1,177.6,38.8,65.5,100.4
"Stadtquartier",91,"Albisrieden",2011,18432,460.1,272.1,177.8,40.1,67.7,103.7
"Stadtquartier",91,"Albisrieden",2012,18999,460.1,272.1,177.8,41.3,69.8,106.8
"Stadtquartier",91,"Albisrieden",2013,19146,460.1,272.5,177.8,41.6,70.3,107.7
"Stadtquartier",91,"Albisrieden",2014,19199,460.1,272.5,177.9,41.7,70.5,107.9
"Stadtquartier",91,"Albisrieden",2015,19325,460.1,272.4,177.2,42,70.9,109.1
"Stadtquartier",91,"Albisrieden",2016,21174,460.2,272,177.3,46,77.8,119.4
"Stadtquartier",91,"Albisrieden",2017,22113,460.1,271.4,175.9,48.1,81.5,125.7
"Stadtquartier",91,"Albisrieden",2018,22304,460.1,271.6,175.6,48.5,82.1,127
"Stadtquartier",91,"Albisrieden",2019,22352,460.1,271.6,175.7,48.6,82.3,127.2
"Stadtquartier",91,"Albisrieden",2020,22364,460.1,271.6,175.6,48.6,82.3,127.4
"Stadtquartier",91,"Albisrieden",2021,22412,460.1,271.6,175.6,48.7,82.5,127.7
"Stadtquartier",91,"Albisrieden",2022,22875,460.1,271.6,175.5,49.7,84.2,130.3
"Stadtquartier",92,"Altstetten",2009,29845,746.8,569.1,350.6,40,52.4,85.1
"Stadtquartier",92,"Altstetten",2010,30659,746.8,569.1,350.6,41.1,53.9,87.4
"Stadtquartier",92,"Altstetten",2011,31381,747,569.3,350.4,42,55.1,89.5
"Stadtquartier",92,"Altstetten",2012,31438,745.5,567.4,351.6,42.2,55.4,89.4
"Stadtquartier",92,"Altstetten",2013,31115,745.6,567.4,350.4,41.7,54.8,88.8
"Stadtquartier",92,"Altstetten",2014,31486,745.6,567.4,353.1,42.2,55.5,89.2
"Stadtquartier",92,"Altstetten",2015,32003,745.5,567.4,351.8,42.9,56.4,91
"Stadtquartier",92,"Altstetten",2016,31724,745.5,566.2,359.2,42.6,56,88.3
"Stadtquartier",92,"Altstetten",2017,32603,745.5,565.4,358.4,43.7,57.7,91
"Stadtquartier",92,"Altstetten",2018,33461,745.5,565.9,357.5,44.9,59.1,93.6
"Stadtquartier",92,"Altstetten",2019,34285,745.5,566,358.2,46,60.6,95.7
"Stadtquartier",92,"Altstetten",2020,34098,745.5,566,358.1,45.7,60.2,95.2
"Stadtquartier",92,"Altstetten",2021,34665,745.5,565.9,357.6,46.5,61.3,96.9
"Stadtquartier",92,"Altstetten",2022,35642,745.5,565.9,357.3,47.8,63,99.7
"Stadtquartier",101,"Höngg",2009,21294,698.3,465.4,241.7,30.5,45.8,88.1
"Stadtquartier",101,"Höngg",2010,21179,698.3,465.4,241.5,30.3,45.5,87.7
"Stadtquartier",101,"Höngg",2011,21323,696.4,462.1,241.2,30.6,46.1,88.4
"Stadtquartier",101,"Höngg",2012,21537,698.4,465.4,241.6,30.8,46.3,89.2
"Stadtquartier",101,"Höngg",2013,21581,698.3,465.4,241.5,30.9,46.4,89.4
"Stadtquartier",101,"Höngg",2014,21826,698.3,465.5,241.6,31.3,46.9,90.3
"Stadtquartier",101,"Höngg",2015,22320,698.4,463.6,242.1,32,48.1,92.2
"Stadtquartier",101,"Höngg",2016,23423,698.4,463.8,243.9,33.5,50.5,96
"Stadtquartier",101,"Höngg",2017,23797,698.4,462,247.2,34.1,51.5,96.3
"Stadtquartier",101,"Höngg",2018,24020,698.4,462.1,248.3,34.4,52,96.8
"Stadtquartier",101,"Höngg",2019,24358,698.4,461.9,246.9,34.9,52.7,98.7
"Stadtquartier",101,"Höngg",2020,24439,698.4,461.9,247,35,52.9,99
"Stadtquartier",101,"Höngg",2021,24510,698.4,461.9,246.8,35.1,53.1,99.3
"Stadtquartier",101,"Höngg",2022,24807,698.4,461.9,246.9,35.5,53.7,100.5
"Stadtquartier",102,"Wipkingen",2009,15645,209,153.9,108.1,74.8,101.7,144.7
"Stadtquartier",102,"Wipkingen",2010,15700,209,153.9,108.1,75.1,102,145.2
"Stadtquartier",102,"Wipkingen",2011,15869,266.2,158.5,108.4,59.6,100.1,146.4
"Stadtquartier",102,"Wipkingen",2012,15791,210.2,156.1,108.2,75.1,101.1,145.9
"Stadtquartier",102,"Wipkingen",2013,15835,210.2,155,107.9,75.3,102.1,146.7
"Stadtquartier",102,"Wipkingen",2014,15717,210.2,155,107.9,74.8,101.4,145.6
"Stadtquartier",102,"Wipkingen",2015,15879,210.2,154.9,108,75.5,102.5,147
"Stadtquartier",102,"Wipkingen",2016,16141,210.2,154.9,108.8,76.8,104.2,148.3
"Stadtquartier",102,"Wipkingen",2017,16544,210.2,154.6,107.4,78.7,107,154.1
"Stadtquartier",102,"Wipkingen",2018,16321,210.2,154.8,107.5,77.6,105.4,151.9
"Stadtquartier",102,"Wipkingen",2019,16474,210.2,154.8,107.3,78.4,106.4,153.5
"Stadtquartier",102,"Wipkingen",2020,16605,210.2,154.9,107.4,79,107.2,154.7
"Stadtquartier",102,"Wipkingen",2021,16507,210.2,154.9,107.3,78.5,106.6,153.8
"Stadtquartier",102,"Wipkingen",2022,16698,210.2,155,107.3,79.4,107.8,155.6
"Stadtquartier",111,"Affoltern",2009,22383,603.2,493.3,204,37.1,45.4,109.7
"Stadtquartier",111,"Affoltern",2010,22972,603.2,493.3,205.1,38.1,46.6,112
"Stadtquartier",111,"Affoltern",2011,24437,603.2,493.3,207.9,40.5,49.5,117.6
"Stadtquartier",111,"Affoltern",2012,24855,603.2,493.2,212.3,41.2,50.4,117.1
"Stadtquartier",111,"Affoltern",2013,25082,603.2,493.2,212.2,41.6,50.9,118.2
"Stadtquartier",111,"Affoltern",2014,25902,603.1,493.1,212.5,42.9,52.5,121.9
"Stadtquartier",111,"Affoltern",2015,25874,604.4,493.7,213.9,42.8,52.4,121
"Stadtquartier",111,"Affoltern",2016,26054,604.4,493.4,215.1,43.1,52.8,121.1
"Stadtquartier",111,"Affoltern",2017,26177,604.4,493.5,215.8,43.3,53,121.3
"Stadtquartier",111,"Affoltern",2018,26562,604.4,494.2,216.6,43.9,53.7,122.6
"Stadtquartier",111,"Affoltern",2019,26710,604.4,494.2,217.1,44.2,54,123
"Stadtquartier",111,"Affoltern",2020,26584,604.4,494.6,216.9,44,53.7,122.6
"Stadtquartier",111,"Affoltern",2021,26554,604.4,495.3,217.1,43.9,53.6,122.3
"Stadtquartier",111,"Affoltern",2022,26935,604.4,495.3,217.1,44.6,54.4,124
"Stadtquartier",115,"Oerlikon",2009,20740,267.9,264.5,187.6,77.4,78.4,110.5
"Stadtquartier",115,"Oerlikon",2010,20787,267.8,264.4,187.5,77.6,78.6,110.9
"Stadtquartier",115,"Oerlikon",2011,21253,267.8,264.4,187.6,79.4,80.4,113.3
"Stadtquartier",115,"Oerlikon",2012,21331,267.8,265,188.5,79.6,80.5,113.2
"Stadtquartier",115,"Oerlikon",2013,21658,267.8,265,188.8,80.9,81.7,114.7
"Stadtquartier",115,"Oerlikon",2014,21895,267.8,265,188.7,81.7,82.6,116
"Stadtquartier",115,"Oerlikon",2015,21966,267.5,264.7,188.5,82.1,83,116.5
"Stadtquartier",115,"Oerlikon",2016,22161,267.5,263.4,187.7,82.9,84.1,118.1
"Stadtquartier",115,"Oerlikon",2017,22815,267.5,263.3,187.5,85.3,86.6,121.7
"Stadtquartier",115,"Oerlikon",2018,23214,267.5,264.2,187.3,86.8,87.9,124
"Stadtquartier",115,"Oerlikon",2019,23288,267.5,264.2,187.2,87.1,88.2,124.4
"Stadtquartier",115,"Oerlikon",2020,23548,267.5,264.2,187.1,88,89.1,125.9
"Stadtquartier",115,"Oerlikon",2021,23880,267.5,264.2,187.1,89.3,90.4,127.6
"Stadtquartier",115,"Oerlikon",2022,24119,267.5,264.2,187.1,90.2,91.3,128.9
"Stadtquartier",119,"Seebach",2009,21489,471.8,431.5,221.1,45.5,49.8,97.2
"Stadtquartier",119,"Seebach",2010,22037,471.8,431.6,220.6,46.7,51.1,99.9
"Stadtquartier",119,"Seebach",2011,22255,473.9,431.6,219.6,47,51.6,101.3
"Stadtquartier",119,"Seebach",2012,23310,471.8,431.6,220.3,49.4,54,105.8
"Stadtquartier",119,"Seebach",2013,24008,471.8,431.6,219.8,50.9,55.6,109.2
"Stadtquartier",119,"Seebach",2014,24431,471.9,431.6,220.1,51.8,56.6,111
"Stadtquartier",119,"Seebach",2015,24991,471,430.3,220.5,53.1,58.1,113.3
"Stadtquartier",119,"Seebach",2016,25198,471,424.8,221.9,53.5,59.3,113.5
"Stadtquartier",119,"Seebach",2017,25817,471,424.8,223.2,54.8,60.8,115.7
"Stadtquartier",119,"Seebach",2018,25568,471,425.3,223.2,54.3,60.1,114.5
"Stadtquartier",119,"Seebach",2019,25806,471,425.3,222.9,54.8,60.7,115.8
"Stadtquartier",119,"Seebach",2020,26056,471,425.5,222.9,55.3,61.2,116.9
"Stadtquartier",119,"Seebach",2021,26541,471,425.5,222.7,56.3,62.4,119.2
"Stadtquartier",119,"Seebach",2022,26980,471,425.5,222.8,57.3,63.4,121.1
"Stadtquartier",121,"Saatlen",2009,7132,111,107.5,82.5,64.2,66.4,86.5
"Stadtquartier",121,"Saatlen",2010,7175,111,107.2,81.4,64.6,67,88.1
"Stadtquartier",121,"Saatlen",2011,7131,111,107.2,81.5,64.2,66.5,87.6
"Stadtquartier",121,"Saatlen",2012,7118,111,107.2,81.5,64.1,66.4,87.4
"Stadtquartier",121,"Saatlen",2013,7280,113.3,109.3,81.9,64.3,66.6,88.9
"Stadtquartier",121,"Saatlen",2014,7563,112.8,108.9,81.9,67,69.4,92.4
"Stadtquartier",121,"Saatlen",2015,8508,112.8,109,82.3,75.4,78.1,103.3
"Stadtquartier",121,"Saatlen",2016,8283,112.8,108.3,83.2,73.4,76.5,99.6
"Stadtquartier",121,"Saatlen",2017,8388,112.8,107.6,83.1,74.4,77.9,101
"Stadtquartier",121,"Saatlen",2018,8582,112.8,108,83.9,76.1,79.5,102.3
"Stadtquartier",121,"Saatlen",2019,8841,112.8,107.9,83.8,78.4,81.9,105.5
"Stadtquartier",121,"Saatlen",2020,8799,112.8,107.9,83.8,78,81.5,105
"Stadtquartier",121,"Saatlen",2021,8788,112.8,107.9,83.8,77.9,81.4,104.8
"Stadtquartier",121,"Saatlen",2022,8826,112.8,107.9,84,78.2,81.8,105.1
"Stadtquartier",122,"Schwamendingen-Mitte",2009,10857,228.9,137.4,86.9,47.4,79,124.9
"Stadtquartier",122,"Schwamendingen-Mitte",2010,10903,228.9,137.4,86.9,47.6,79.4,125.4
"Stadtquartier",122,"Schwamendingen-Mitte",2011,10863,228.9,137.4,87,47.5,79.1,124.9
"Stadtquartier",122,"Schwamendingen-Mitte",2012,10934,229.3,137.9,86.9,47.7,79.3,125.8
"Stadtquartier",122,"Schwamendingen-Mitte",2013,11209,227.1,135.8,87.4,49.4,82.5,128.3
"Stadtquartier",122,"Schwamendingen-Mitte",2014,11301,279.1,138.5,87.4,40.5,81.6,129.4
"Stadtquartier",122,"Schwamendingen-Mitte",2015,11315,279.1,138.3,87.4,40.5,81.8,129.4
"Stadtquartier",122,"Schwamendingen-Mitte",2016,11076,279.2,138.1,87.7,39.7,80.2,126.3
"Stadtquartier",122,"Schwamendingen-Mitte",2017,11012,279.2,137.3,88,39.4,80.2,125.2
"Stadtquartier",122,"Schwamendingen-Mitte",2018,11100,279.2,137.3,87.9,39.8,80.8,126.3
"Stadtquartier",122,"Schwamendingen-Mitte",2019,11261,279.2,137.4,87.9,40.3,82,128.1
"Stadtquartier",122,"Schwamendingen-Mitte",2020,11083,279.2,137.4,87.9,39.7,80.7,126.1
"Stadtquartier",122,"Schwamendingen-Mitte",2021,10975,279.2,137.4,87.9,39.3,79.9,124.9
"Stadtquartier",122,"Schwamendingen-Mitte",2022,11207,279.2,137.4,87.9,40.1,81.6,127.5
"Stadtquartier",123,"Hirzenbach",2009,11610,256.7,180.5,99.2,45.2,64.3,117.1
"Stadtquartier",123,"Hirzenbach",2010,11459,256.7,180.5,99.2,44.6,63.5,115.6
"Stadtquartier",123,"Hirzenbach",2011,11516,256.7,180.5,98.9,44.9,63.8,116.4
"Stadtquartier",123,"Hirzenbach",2012,11404,256.2,179.9,99.4,44.5,63.4,114.7
"Stadtquartier",123,"Hirzenbach",2013,11153,256.2,180,99.3,43.5,62,112.3
"Stadtquartier",123,"Hirzenbach",2014,11679,204.6,177.7,99.5,57.1,65.7,117.4
"Stadtquartier",123,"Hirzenbach",2015,11930,204.6,176.7,99.4,58.3,67.5,120
"Stadtquartier",123,"Hirzenbach",2016,12463,204.6,176.2,101.3,60.9,70.7,123.1
"Stadtquartier",123,"Hirzenbach",2017,12627,204.6,176.1,101.1,61.7,71.7,124.9
"Stadtquartier",123,"Hirzenbach",2018,12801,204.6,175.9,101.1,62.6,72.8,126.6
"Stadtquartier",123,"Hirzenbach",2019,13129,204.6,175.9,100.2,64.2,74.6,131
"Stadtquartier",123,"Hirzenbach",2020,12963,204.6,175.9,100.3,63.3,73.7,129.3
"Stadtquartier",123,"Hirzenbach",2021,12891,204.6,175.9,100.2,63,73.3,128.7
"Stadtquartier",123,"Hirzenbach",2022,12920,204.6,175.9,100.2,63.1,73.4,129
